Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_39;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/image/image_utils.py;None;fetch_to_volume_format;convert_image(tmp, dest, volume_format, src_format=disk_format, run_as_root=run_as_root);420
Test_40;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/image/image_utils.py;TemporaryImages;fetch;fetch_verify_image(context, image_service, image_id, tmp);666
Test_41;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/flows/api/create_volume.py;QuotaReserveTask;execute;QUOTAS.add_volume_type_opts(context, reserve_opts, volume_type_id);652
Test_42;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/flows/api/create_volume.py;VolumeCastTask;_cast_create_volume;self.scheduler_rpcapi.create_volume(context, volume, snapshot_id=snapshot_id, image_id=image_id, request_spec=request_spec, filter_properties=filter_properties);790
Test_43;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/flows/manager/create_volume.py;NotifyVolumeActionTask;execute;volume_utils.notify_about_volume_usage(context, volume, self.event_suffix, host=volume.host);355
Test_44;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_capture_volume_image_metadata;self.db.volume_glance_metadata_bulk_create(context, volume_id, volume_metadata);617
Test_45;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_handle_bootable_volume_glance_meta;self._capture_volume_image_metadata(context, volume.id, image_id, image_meta);438
Test_46;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/db/sqlalchemy/api.py;None;volume_type_qos_specs_get;_volume_type_get(context, type_id, session);3932
Test_47;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/v2/volumes.py;VolumeController;_get_volumes;self.volume_api.check_volume_filters(filters);111
Test_48;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/contrib/volume_mig_status_attribute.py;VolumeMigStatusAttributeController;show;self._add_volume_mig_status_attribute(req, resp_obj.obj['volume']);34
Test_49;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/contrib/volume_host_attribute.py;VolumeHostAttributeController;show;self._add_volume_host_attribute(req, volume);34
Test_50;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/contrib/volume_tenant_attribute.py;VolumeTenantAttributeController;show;self._add_volume_tenant_attribute(req, volume);34
Test_51;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/v3/volumes.py;VolumeController;_get_volumes;req.cache_db_volumes(volumes.objects);135
Test_52;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/v3/volumes.py;VolumeController;_get_volumes;self.volume_api.check_volume_filters(filters, strict);123
Test_53;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/api/contrib/volume_actions.py;VolumeActionsController;_reserve;self.volume_api.reserve_volume(context, volume);141
Test_54;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/scheduler/rpcapi.py;SchedulerAPI;create_volume;return cctxt.cast(ctxt, 'create_volume', **msg_args);101
Test_55;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/scheduler/driver.py;None;volume_update_db;return volume;57
Test_56;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/objects/volume.py;Volume;volume_metadata;return md;161
Test_57;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/objects/volume.py;Volume;volume_admin_metadata;return md;171
Test_58;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/objects/volume_attachment.py;VolumeAttachmentList;get_all_by_volume_id;return base.obj_make_list(context, cls(context), objects.VolumeAttachment, attachments);178
Test_59;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/volume_types.py;None;get_volume_type;return db.volume_type_get(ctxt, id, expected_fields=expected_fields);130
Test_60;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/cinder/volume/volume_types.py;None;get_default_volume_type;return vol_type;165
