Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_48;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_network_delete_precommit_handler;self.mechanism_manager.delete_network_precommit(mech_context);998
Test_49;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_network_delete_after_delete_handler;self.mechanism_manager.delete_network_postcommit(context._mech_context);1005
Test_50;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_after_create_network;self.mechanism_manager.create_network_postcommit(mech_context);841
Test_51;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_ml2_md_extend_network_dict;plugin.extension_manager.extend_network_dict(session, netdb, result);635
Test_52;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_network_delete_after_delete_handler;self.notifier.network_delete(context, network['id']);1013
Test_53;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_handle_segment_change;self.type_manager.release_network_segment(context, segment);1888
Test_54;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_create_subnet_db;self.type_manager.extend_network_dict_provider(context, network);1033
Test_55;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/plugin.py;Ml2Plugin;_notify_mechanism_driver_for_segment_change;self.mechanism_manager.update_network_precommit(mech_context);1914
Test_56;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/notifiers/nova.py;Notifier;_send_nova_notification;self.send_network_change(action, original, data);102
Test_57;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;SinkHole;treat_devices_added_or_updated;self._update_port_network(details['port_id'], details['network_id']);1569
Test_58;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;SinkHole;process_deleted_ports;self._clean_network_ports(port_id);454
Test_59;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/drivers/openvswitch/agent/ovs_neutron_agent.py;SinkHole;_update_port_network;self._clean_network_ports(port_id);1582
Test_60;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/pecan_wsgi/hooks/ownership_validation.py;OwnershipValidationHook;before;self._validate_network_tenant_ownership(state, item);31
Test_61;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/plugins/ml2/extensions/port_security.py;PortSecurityExtensionDriver;process_create_network;self._process_network_port_security_create(context, data, result);44
Test_62;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/agent/dhcp/agent.py;DhcpAgent;safe_configure_dhcp_for_network;self.configure_dhcp_for_network(network);284
Test_63;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/agent/dhcp/agent.py;DhcpAgent;enable_dhcp_helper;self.configure_dhcp_for_network(network);277
Test_64;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/agent/l3/router_info.py;RouterInfo;_process_internal_ports;self.internal_network_removed(p);566
Test_65;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/agent/l3/router_info.py;RouterInfo;internal_network_added;self._internal_network_added(self.ns_name, network_id, port_id, fixed_ips, mac_address, interface_name, INTERNAL_DEV_PREFIX, mtu=port.get('mtu'));465
Test_66;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/agent/l3/router_info.py;RouterInfo;_process_internal_ports;self.internal_network_added(p);554
Test_67;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/api/v2/base.py;Controller;_create;self._validate_network_tenant_ownership(request, item[self._resource]);460
Test_68;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/api/rpc/handlers/dhcp_rpc.py;DhcpRpcCallback;_get_active_networks;plugin.auto_schedule_networks(context, host);86
Test_69;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/db/agentschedulers_db.py;DhcpAgentSchedulerDbMixin;auto_schedule_networks;self.network_scheduler.auto_schedule_networks(self, context, host);513
Test_70;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/db/ipam_backend_mixin.py;IpamBackendMixin;_save_subnet;self._validate_network_subnetpools(network, subnet_args['subnetpool_id'], subnet_args['ip_version']);504
Test_71;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/db/db_base_plugin_v2.py;NeutronDbPluginV2;delete_network;self._ensure_network_not_in_use(context, id);454
Test_72;OPENSTACK_MISSING_FUNCTION_CALL-NETWORK;/neutron/db/db_base_plugin_v2.py;NeutronDbPluginV2;create_port_db;self._get_network(context, network_id);1286
